编号	项目名称	所属行业	所属行业2	建设单位	建设地点1	建设地点2	投资主体性质	投资额（万元）	建设内容	经济指标	建设时间-起	建设时间-止	标签	项目性质	所属园区
172	年产40万套新型复合刹车毂研发与生产基地建设项目			河南省巨匠实业有限公司	河南	郑州	民营	25619.15	项目拟投资25619.15万元，在河南省郑州航空港新建年产40万套新型复合刹车毂研发与生产基地建设项目，项目建设用地60.00亩（40000.00平方米）。具体包括：建设二次精密加工组装车间、科研大楼、仓储区、物流中心、营销大楼、办公生活区、配电房、门卫、停车场及道路、绿地等辅助工程，购置生产、检测、办公及辅助设备，准备流动资金。项目建设期2年，从2015年6月开始前期准备，2017年5月项目竣工。项目总投资25619.15万元，其中固定资产投资24180.45万元，铺底流动资金1438.70万元。项目建成后可年产40万套新型复合刹车毂，成为我国汽车刹车毂领域的龙头企业，预计实现年销售收入可达128000.00万元，年上缴各种税金5522.51万元，带动地方就业约240人。	项目建成后，正常经营年份年销售收入128000.00万元，年利润总额9820.27万元，年税后利润7365.20万元，税金总额5522.51万元（其中年增值税2788.58万元，年销售税金及附加278.86万元，所得税2455.07万元），项目投资利润率33.89%，投资利税率44.48%，销售利润率7.67%，税前财务内部收益率为34.37%，税后财务内部收益率为25.96%，税前财务净现值33111.98万元，税后20840.26万元，税前投资回收期5.12年，税后投资回收期6.32年，其中均含建设期2年。	2015	2017	新型复合刹车毂，汽车刹车毂	新建	
173	先进光学测量仪器项目		仪器仪表	浙江光策技术有限公司	浙江	嘉兴	民营	2000	本项目先进光学测量仪器产品产量共205台	经过财务测算和分析，本项目正常生产年份营业收入6055.00万元，年增值税351.91万元，年销售税金及附加35.19万元，年利润总额1875.53万元，年税后利润1406.64万元，所得税468.88万元。项目投资利润率78.43%，投资利税率94.62%，销售利润率30.97%，税前财务内部收益率为73.62%，税后财务内部收益率为58.38%；税前财务净现值（i=10%）8424.40万元，税后6022.10万元；税前投资回收期2.93年，税后投资回收期3.36年，其中均含建设试产期12个月。	2014	2016	精度光学镜片，光学测量仪器，双焦干涉测厚仪，光学系统，干涉仪	新建	
174	年产2万吨无甲醛环保胶水项目		环保新材料	潮州市高迪环保材料科技有限公司	广东	潮州	民营	16000	项目拟投资16000.00万元，在广东省潮州市中山（潮州）产业转移工业园径南分园中炬科技园新建年产2万吨无甲醛胶项目。项目建设用地30.00亩（20000.00平方米），具体包括：建设生产厂房A、B、C三栋、办公楼、连廊、锅炉房、门房以及停车场、公共活动区、道路、绿地等辅助工程，购置生产、检测、包装及辅助设备；同时为保证生产和经营正常进行，准备流动资金。项目建设期2年，建设两条生产线，一条生产线年产1.5万吨无甲醛生物胶水，另1条生产线年产5000吨的高端无甲醛生物胶水。项目总投资16000.00万元，其中固定资产投资11000.00万元，流动资金5000.00万元。项目最终建成集无甲醛环保胶水研发生产销售于一体的生产基地，项目将凭借中国科学院强大的技术背景支持，以及公司研发团队的创新能力和技术，最终打造成世界级无甲醛无溶剂生物胶水领军企业，推动整个人行业实现真正的无醛化。项目建成后可年无甲醛无溶剂环保胶水2万吨，成为我国无醛无溶剂胶水领域的领军企业，预计实现年销售收入可达20750.00万元，年上缴各种税金2714.37万元，带动地方就业约120人。	项目建成后，正常经营年份年销售收入20750.00万元，年利润总额4804.48万元，年税后利润3603.36万元，税金总额2714.37万元（其中年增值税1375.69万元，年销售税金及附加137.57万元，所得税1201.12万元），项目投资利润率30.03%，投资利税率39.49%，销售利润率23.15%，税前财务内部收益率为38.52%，税后财务内部收益率为30.68%，税前财务净现值21739.39万元，税后15107.01万元，税前投资回收期4.53年，税后投资回收期5.35年，其中均含建设期1年半。	2015	2016	无甲醛环保胶水，无醛粘合剂，环保新材料	新建	
175	海马养殖及深加工项目		水产养殖	广东和正生物科技有限公司	广东	潮州	民营	18250	项目拟投资18250.00万元，在广东省潮州市中山（潮州）产业转移工业园径南分园中炬科技园新建海马养殖及深加工项目，项目厂区建设用地30.00亩（20000.00平方米）。具体包括：建设560个养殖池、生产车间（A幢、B幢）、业务用房（C幢，200平米的海马联合研发中心{中国科学院南海海洋研究所提供技术支撑}及办公综合用房）、锅炉房（D幢）以及门卫房、道路、绿地等配套工程，购置养殖、监测、生产及辅助设备，准备流动资金。项目建设期1年，从2015年4月开始前期准备，2015年6月开始土建施工。项目总投资18250.00万元，其中固定资产投资12750.00万元，流动资金5500.00万元。项目建成后可年养殖海马856.80万尾、年产42.84吨海马干、14.5万瓶海马含片、20万瓶海马胶囊以及10000克海马精华，成为我国海马养殖领域的领军企业，预计实现年销售收入可达14310.00万元，年上缴各种税金3786.73万元，直接带动地方就业约130人，间接带动周边养殖散户、相关企业等550余人。	项目建成后，正常经营年份年销售收入14310.00万元，年利润总额7338.78万元，年税后利润5504.08万元，税金总额3786.73万元（其中年增值税1774.58万元，年销售税金及附加177.46万元，所得税1834.69万元），项目投资利润率40.21%，投资利税率50.91%，销售利润率51.28%，税前财务内部收益率为49.36%，税后财务内部收益率为39.09%，税前财务净现值34587.61万元，税后24609.34万元，税前投资回收期3.76年，税后投资回收期4.43年，其中均含建设期1年。	2015	2016	海马养殖，海马干，海马含片，海马胶囊	新建	
176	年产10万吨超细矿石微粉项目			凌源市北方建材有限公司	辽宁	朝阳	民营	2400	年产白云石微粉8万吨，重质碳酸钙微粉2万吨，共计生产10万吨/年超细矿石微粉。				超细矿石微粉，方解石，白云石	新建	
177	人防防护设备生产项目			遵义市固金人防工程科技有限公司	贵州	遵义	民营	1900	"本项目自2015年4月开始建设，2016年3月后投产，共投资1900.00万元，新建一个年产值4500.00万元的人防防护设备生产项目，具体包括：一体化厂房、原料库、成品库、综合办公楼（包括符合保密规定的图纸资料室）、环保消防中心、配电、停车场及公共活动区等辅助工程，购置生产、检测、办公及辅助设备，准备铺底流动资金。
本项目利用企业自身优势，通过先进技术工艺生产人防防护设备，产品种类包括：钢结构手动防护设备、防护密闭门、电控门、阀门、防电磁脉冲门等。
项目投产后，正常年限年销售收入可达4500.00万元，年上缴各种税金469.21万元，带动地方就业约50人。"	经过财务测算和分析，本项目（年平均值）年收入4500.00万元，年增值税207.27万元，年销售税金及附加20.73万元，项目正常年份利润总额为964.86万元，年上缴所得税额为241.21万元，税后利润为723.64万元；项目投资利润率41.96%，项目投资利税率51.87%，税前财务内部收益率为49.09%，税后财务内部收益率为36.97%，税前财务净现值（i=10%）4036.47万元，税后2735.89万元；税前投资回收期3.82年，税后投资回收期4.68年，其中均含建设期12个月。	2015	2016	人防防护设备，手动防护设备，防护密闭门，防电磁脉冲门	新建	
178	年产12万吨生物质固体成型燃料项目			安徽恒信联创环保科技有限公司	安徽	阜阳	民营	6100	项目总计划投资6100.00万元，在安徽省阜南县新建年产12万吨生物质固体成型燃料项目。项目一期总投资约2300.00万元人民币，在阜南县周边半径约10KM范围外，投资480万元建设6个原材料加工分散点（运输车辆、粉碎机、成型机购买及厂房建设）；同时在阜南县工业园建设工业主厂房，投资1820.00万元（成型设备、粉碎机、抓草机、基础设施建设等）。二期及三期总投资3800.00万元人民币，主要包括2条年产2万吨的大型生产线和36个加工点。项目规划占地面积50亩，一期总建筑面积1200m2 ，主要建设标准化车间生产车间、标准化仓库、综合办公室(办公室、宿舍、食堂)、停车场、道路及绿化等辅助工程，购置生产、办公及辅助设备，准备流动资金。项目一期规划年产2万吨生物质压缩成型燃料，经过二期、三期规划后最终形成年产12万吨生物质压缩成型燃料。项目一期可实现年收入1400万元，待项目二期、三期全部建设完成后预计年销售收入可达8400.00万元，带动地方就业约226人，同时原材料供应可带动近万户村民及相关的就业人员。	项目建成后，正常经营年份年销售收入8400.00万元，年利润总额3381.10万元，年税后利润2535.82万元，税金总额1678.16万元（其中年增值税771.19万元，年销售税金及附加61.70万元，所得税845.27万元），项目投资利润率50.37%，投资利税率62.78%，销售利润率40.25%，税前财务内部收益率为85.36%，税后财务内部收益率为58.95%，税前财务净现值15885.39万元，税后11330.57万元，税前投资回收期3.33年，税后投资回收期4.00年，其中均含建设期3年。	2015	2017	生物质固体成型燃料，生物质压缩成型燃料，秸秆，生物质燃料	新建	
179	进口肉类物流项目		物流	武汉一棉集团	湖北	武汉	国企	6000	"共投资6000.00万元，新建进口肉类物流项目，具体包括：高低温冷藏库、贮冰库、保鲜库、加工检验车间、制冷机房及冰池等新建和改建工程，购置制冷、检测设施设备，准备铺底流动资金。
武汉一棉集团阳逻分厂利用闲置土地、厂房260余亩，改造成大型冷库、仓储等物流基地。项目主要建筑物为高低温冷藏库、贮冰库、保鲜库、加工检验车间、制冷机房及冰池等工程。项目建筑面积100000.00平方米。
项目规模: 6500吨水果保鲜库， 3万吨肉类、水产品冷藏库，年加工肉类、水产品1.5万吨。
项目投产后，正常年限年销售收入可达100000.00万元，年上缴各种税金1709.36万元，直接带动地方就业2000人。"	经过财务测算和分析，本项目（年平均值）年收入100000.00万元，年增值税785.97万元，年销售税金及附加78.60万元，项目正常年份利润总额为3379.14万元，年上缴所得税额为844.78万元，税后利润为2534.35万元；项目投资利润率45.27%，项目投资利税率56.86%，税前财务内部收益率为55.70%，税后财务内部收益率为42.60%，税前财务净现值（i=10%）14933.63万元，税后10309.25万元；税前投资回收期3.52年，税后投资回收期4.30年，其中均含建设期12个月。	2015	2016	冷链物流，农产品冷链物流，农产品配送，肉类物流	新建	
180	北斗地基增强系统项目			云南北斗卫星导航平台有限公司	云南	昆明	混合所有制	23540	本项目通过在云南省范围内布设北斗地面增强参考站，建设覆盖全云南省的高精度增强定位系统。云南省北斗地基增强系统建立以北斗为主体、统一的多系统、高精度CORS地基增强系统网络，可以为云南提供高精度永久性连续运行的定位基础设施。本项目通过合理规划，加强资源整合与集约建设，逐步规范云南省高精度差分站点资源，实现优化配置；加强昆明与周边地区的数据共享和互联互通，扩大云南北斗地面增强服务系统的网络覆盖范围；积极争取国家资源，充分利用昆明市通信资源，加快推进建立基于互联网、移动通信网、卫星通信网等的天地一体化北斗地面增强服务系统，努力拓展应用服务面，满足经济生产、社会服务的需要。项目总投资23540.00万元，其中建设投资21720.85万元（其中建筑工程费9000.00万元、设备购置费10000.00万元、软件购置及平台开发费900.00万元、期间费1820.85万元（招标代理费、监理费、管理费、项目可研与申报费、测评费等597.00万元，预备费1223.85万元）），铺底流动资金1819.15万元。	经过财务测算和分析，项目建成后，正常经营年份年销售收入16800.00万元，年增值税2530.58万元，年销售税金及附加253.06万元，项目正常年份利润总额为12019.15万元，年上缴所得税额为3004.79万元，税后利润为9014.36万元；项目投资利润率42.20%，项目投资利税率52.22%，税前财务内部收益率为50.80%，税后财务内部收益率37.33%，税前财务净现值40641.19万元，税后26387.03万元；税前投资回收期3.84年，税后投资回收期4.75年（含建设期）。项目的预期产能达到约17.56%，即可保本不发生亏损。	2014	2016	北斗导航，北斗卫星导航系统，北斗地基增强网，智慧城市	新建	
181	WithBall篮球约战社区O2O体育电商平台项目			北京意帆盛世体育文化有限公司	北京	朝阳	民营		针对客户的痛点，通过PC网站及APP提供一站式全方位赛前、赛中、赛后标准化篮球赛事服务，解决约战信息不对称的问题；通过提供标准化的赛事服务，解决篮球业余赛事标准化、专业化的问题；通过积累球队及球员各种数据，形成国内最大的业余篮球赛事大数据平台，提供线下深度体验营销模式；在产品形态上，实现安卓和ISO版本和网页版本的多客户端的无缝同步，从而积累沉淀用户行为及数据为其推送个性化销售运动产品。		2015	2017	篮球，体育产业，O2O	新建	
182	养老医疗康复一体化社区项目			平顶山市第一人民医院	河南	平顶山		220000	项目投资22亿元，用地面积410亩（27万平方米），主要建设平顶山市第一人民医院湛南分院和湛南分院康复养老社区。其中湛南分院投资12亿元，拟建用地面积11万㎡（合160亩），主要建设门诊楼、住院楼、高档体检中心、专家医护教学、科研综合楼、全护病房楼、行政办公楼、配套用房等。湛南分院康复养老社区投资10亿元，拟建用地面积16万㎡（合250亩），主要建设老年公寓、康复中心及商业配套附属设施等。项目建成后将成为集“养老、医疗、保健、康复、休闲、娱乐、文化、培训等”于一体的综合性社区。	经过财务测算和分析，项目建成后，正常经营年份年营业收入168300.00万元，年增值税17915.83万元，年销售税金及附加1791.58万元，年利润总额68491.02万元，年税后利润51368.27万元，所得税17122.76万元。项目投资利润率26.99%，投资利税率34.76%，销售利润率40.70%，税前财务内部收益率为32.14%，税后财务内部收益率为23.43%，税前财务净现值175744.72万元，税后98432.69万元，税前投资回收期5.83年，税后投资回收期7.36年，其中均含建设期3年。项目的预期负荷达到约33.31%，即可保本不发生亏损。	2015	2018	健康养老，养老社区，医疗康复社区	新建	
183	内蒙古苏尼特小黑头羊高端产品开发推广项目			四川爱心（集团）有限公司	内蒙古	锡林郭勒盟	民营	4984	 本项目以苏尼特小黑头羊高端产品开发推广为基本运作模式，建立肉羊养殖—肉羊加工的完整产业链，除可直接提供90个就业岗位外，还将促进当地饲草料种植业、运输业、商贸服务行业的发展，为近300人提供就业机会。 		2013	2014	肉羊养殖，肉羊加工	新建	
184	智能酒店一站式服务平台项目		科技服务业	上海易逸信息技术有限公司	上海	杨浦	民营	50000	本项目为上海易逸信息技术有限公司建设的以云中心数据平台为基础的高标准、高规格、高品质的具有有核心竞争力的酒店一站式服务平台。借助上海区域优势，整合本地区的优势资源形成地区发展的强动力，并扩大自身影响力，引导全国酒店业联动发展；以“绿色、智慧、节能”为导向，以“国际化”为项目建设目标，打造全国领先的智能酒店一站式服务平台的标杆企业。通过酒店前台机器人和云中心数据平台为酒店企业提供智能平台，打造智慧酒店，从而能为住客提供更便捷、舒适、智能、个性化的酒店体验和服务。同时，易逸正在开发自己的专属手机app，将同易逸智慧终端系统和易逸大数据云平台实现完美串联。将来顾客可以通过手机完成预订、入住和退房，甚至可以通过手机完成身份认证，家里预订，到酒店直接凭手机控制门锁进入房间，无需前台的确认程序，实现真正的智能服务，打造未来智慧型酒店。拟投资50000.00万元实施智能酒店一站式服务平台项目，在上海湾谷科技园建设总部办公基地及云中心数据平台；在平湖开发区建设智能酒店前台机器人设备终端厂房、手机门锁系统厂、超高清摄像头系统分厂以及宿舍、食堂、办公楼等。购置各种软硬件、数据库、生产设备及办公等辅助设备。其中云中心数据平台：建筑面积3000平方米，主要开发自助登记/入住系统、客房智能控制系统、客房自助服务系统、酒店中央预订系统、智能点餐系统、酒店商务系统、电子门锁系统等各个子系统，是本项目建设的关键。	项目建成后，正常经营年份年营业收入120513.44万元，年利润总额17017.37万元，年税后利润12763.03万元，税金总额9014.76万元（其中年增值税4327.65万元，年营业税金及附加432.77万元，所得税4254.34万元），项目投资利润率27.02%，投资利税率34.58%，销售利润率14.12%，税前财务内部收益率为30.13%，税后财务内部收益率为23.94%，税前财务净现值59376.34万元，税后36868.85万元，税前投资回收期6.15年，税后投资回收期7.40年，其中均含建设期2年。			智能酒店，服务平台，云中心数据平台，智能酒店前台机器人	新建	
185	炭黑油深加工产品精细化工项目			唐山三兴化工有限公司									精萘，蒽醌，煤焦油，炭黑油	新建	
186	内蒙古广告产业工程项目		广告产业	内蒙古日报社	内蒙古	呼和浩特		5000	项目拟建于内蒙古日报传媒大厦，建筑面积2000平方米，拟投入资金5000万元，其中户外新媒体联播网建设及运营资金约4000万元；用户数据中心建设资金100万元；现广告创意中心建设资金约300万元；全媒体广告中心建设资金200万元；技术研发服务中心建设及人才等政策配套资金300万元；都市报蜂巢孵化中心建设资金100万元。	项目建成后，正常经营年份年营业收入15000.00万元，年利润总额2115.18万元，年税后利润1586.39万元，税金总额783.62万元（其中年增值税198.80万元，年增值税金及附加19.88万元，所得税528.80万元），项目投资利润率31.11%，投资利税率34.32%，营业利润率14.10%，税前财务内部收益率为38.02%，税后财务内部收益率为28.10%，税前财务净现值7888.33万元，税后5062.23万元，税前投资回收期4.86年，税后投资回收期6.11年，其中均含建设期。项目的预期产能达到约44.92%，即可保本不发生亏损。	2015	2018	户外广告，户外新媒体，全媒体广告，广告公司	新建	
187	年产30亿瓦时动力及储能锂电池建设项目			江西省福斯特新能源集团有限公司	江西	宜春	民营	166045.8	项目总投资166045.800万元，用地300亩，项目产品动力及储能锂电池主要应用于电动自行车、电动工具、电动专用车（主要是：邮政、物流、环卫等）、电动乘用车、电动客车、基站储能等领域。本项目达产后的年产值360000万元，利税51658.48万元。	项目建成后，达到年产30亿瓦时动力及储能锂电池的设计能力时总营业收入为360000万元，生产期年均营业收入300923.08万元（不含税）。生产期年均利润总额26717.70万元，净利润22710.05万元。投资利润率为13.97%，投资利税率为23.51%，税后财务内部收益率：18.97% ，经济效益较好。	2014	2015	18650锂离子电池，动力储能电池，锂电池	新建	
188	环保聚能纳米材料新建项目			伊赛（天津）科技发展有限公司	天津	宁河	民营	40394.8	拟建项目建设投资为 35176.65 万元，生产加工高纯着色剂系列产品，项目实施完成达产后，年实现销售收入为 276000.00 万元，年实现利润总额为28459.04 万元，年实现利税总额为 43942.1 万元，投资利税率 81.85%，投资利润率 47.02%，税后财务内部收益率为 39.26%，投资回收期（含建设期）4.78年，人民币贷款偿还期为 3.92 年（含建设期），盈亏平衡点为 65.39%，财务内部收益率高于行业基准收益率，项目在财务上是可行的。				环保聚能纳米材料，高纯着色剂	新建	
189	节能门窗及碳纤维电采暖生产基地项目			河北省建筑科学研究院	河北	秦皇岛		27000	碳纤维电地暖生产基地占地面积60亩，建设规模年产φ5.2mm 12K、φ5.2mm 24K 碳纤维电热线30万条，合计52000KW，估算总投资1.5亿元，年营业收入8000.00万元。高效节能门窗生产基地占地面积50亩，建设规模年产各类型节能窗12万平方米、节能门1.2万套，估算总投资1.1亿元，年营业收入7500.00万元。根据市场需求和企业承办能力分析，确定本项目建设规模为：年产碳纤维电热线30万条，节能门窗年产值7500.00万元。其中：φ5.2mm12K电热线23万条、φ5.2mm24K电热线7万条；节能窗12万平方米、节能门1.2万套。根据市场需求和企业承办能力分析，确定本项目建设规模为：年产碳纤维电热线30万条，节能门窗年产值7500.00万元。其中：φ5.2mm12K电热线23万条、φ5.2mm24K电热线7万条；节能窗12万平方米、节能门1.2万套。		2015	2016	碳纤维电地暖，碳纤维，节能门窗	新建	
190	城市原生污水源热泵空调产品项目			江苏联合冷热节能环保设备有限公司	江苏	徐州	民营	5200	本项目规划为年产200套城市原生污水源热泵空调产品。包括热泵主机200台和200台专利装置。	经过财务测算和分析，本项目正常生产年份营业收入12000万元，年销售税金及附加74万元，年利润总额2297.6万元，年税后利润1723.2万元，所得税574.4万元。项目投资利润率42.3%，投资利税率57.3%，销售利润率19.1%，税前财务内部收益率为49.2%，税后财务内部收益率为38.6%，税前财务净现值（i=8％）11535.9万元，税后8200.2万元；税前投资回收期3.21年，税后投资回收期3.70年，其中均含建设期12个月。	2009	2010	城市原生污水源热泵空调	新建	
191	年产20000台空气能热泵热水器项目			广东中山市宇能空气热能设备科技有限公司	江西	赣州	民营	8000	项目设计产能为20000台/年。投资规模：项目总投资为8000万元，其中：建筑工程3000万元，设备购置3000万元，安装调试工程100万元，其它费用500万元，预备费用500万元，建设期贷款利息600万元，铺底流动资金300万元。建设规模：生产车间4120平方米、办公用房3060平方米、生活用房2590平方米、配套用房260平方米，以及道路、绿化、供电、给、排水等设施建设，征用建设用地45亩；购置4条生产流水线全套生产工艺设备及其管线铺设等。	经过财务测算和分析，本项目（年平均值）年销售收入14500万元，年销售税金及附加136万元，年利润总额4681万元，年税后利润3510.8万元，所得税1170.3万元。项目投资利润率48.98%，投资利税率64.63%，销售利润率32.28%，税前财务内部收益率为56.39%，税后财务内部收益率为43.86%，税前财务净现值（i=8％）24082.6万元，税后17160.6万元；税前投资回收期3.05年，税后投资回收期3.47年，其中均含建设期12个月。	2010	2012	空气能热水器，空气能热泵热水器，空气热能	新建	
192	年产30万辆电动三轮车建设项目			山东国防电动科技有限公司	山东	潍坊	民营	20000	本项目占地面积200000平方米，新建技术开发车间、线束车间、坐垫车间、配件库、材料仓库、车架车间、车斗车间、组装车间、成品库以及办公楼、科技楼等设施，建筑面积110286平方米，购置程控装配自动生产线、数控焊装线等生产设备468台（套），从而达到产业化、规模化生产的目的，降低生产成本，提高企业竞争力。同时考虑公用工程配套及服务性设施，以满足生产需要。		2010	2012	电动三轮车	新建	
193	对俄跨境电商平台项目			绥芬河邦众网络科技有限公司	黑龙江	绥芬河	民营	10082.3	项目总投资10082.30万元，其中建设投资8114.77万元（其中建筑工程费0.00万元、设备购置费2206.06 万元、安装工程费446.18万元（其中装修工程费380.00万元、设备安装调试费66.18万元）、场地租赁费477.00万元、软件购置费611.8万元、工程建设其他费用374.10万元、应用系统设计与开发3000.00万元、基本预备费569.21万元、涨价预备费37.41万元、建设期利息393.00万元），铺底流动资金1967.53万元。	经过财务测算和分析，项目建成后，主要盈利来源为平台使用费、交易手续费、广告费用、跨境代运营服务费及其他（沉淀资金、自营商品利润、客户个性化增值服、出版物盈利等），预计正常经营年份年营业收入45700.00万元，年增值税1331.54万元，年销售税金及附加0.00万元，年利润总额4567.44万元，年税后利润3425.58万元，所得税1141.86万元。项目投资利润率31.13%，投资利税率40.20%，销售利润率9.99%，税前财务内部收益率为34.91%，税后财务内部收益率为27.75%，税前财务净现值12993.94万元，税后8323.00万元；税前投资回收期5.78年，税后投资回收期6.63年，其中均含建设期2年。项目的预期产能达到约50.16%，即可保本不发生亏损。	2014	2018	跨境电商平台，电子商务	新建	
194	西南数据中心项目			贵州坤腾世纪科技有限公司	贵州	毕节	民营	32000	"根据公司现有汽车导航产品，为企业客户提供汽车导航定位服务以及相关服务，同时建成贵州省车辆运维动态监督平台；
为了更好的培养人才和发展毕节市教育，建立教育大数据中心； 
为各类中小企业提供IDC数据服务器托管，同时开发在线培训/远程培训服务、设备维修、空间租用、远程维护、代理维护、系统集成、技术支持，为中小企业提供更全面的服务；
为中小企业搭建信息化所需要的所有网络基础设施及软件、硬件运作平台，并负责所有前期的实施、后期的维护等一系列服务；
根据系统建设的需要，购置服务器、关键网络设备、数据存储和网络安全和系统备份等设备，增加网络带宽，加强网络系统的安全性和稳定性； 
建设综合办公楼（主楼）、孵化楼、服务楼、专家楼。 "	项目建成后，正常经营年份年营业收入27200.00万元，年利润总额13542.98万元，年税后利润10157.24万元，税金总额7809.54万元（其中年增值税4021.63万元，年营业税金及附加402.16万元，所得税3385.75万元），项目投资利润率38.57%，投资利税率51.17%，销售利润率49.79%，税前财务内部收益率为53.00%，税后财务内部收益率为43.85%，税前财务净现值73785.58万元，税后53102.02万元，税前投资回收期3.90年，税后投资回收期4.35年，其中均含建设期2年。	2015	2016	数据中心，交通数据中心，智慧城市，北斗导航，云计算平台，IDC	新建	
195	3D技术应用科普示范及产业孵化综合产业园项目			河南统宝电子科技有限公司	河南	南阳	民营	1000000	项目拟投资1000000.00万元在河南南阳新建3D技术应用科普示范及产业孵化综合产业园项目，占地3000亩。项目分两期建设，一期主要建设3D科普教育示范区、3D打印科技展示区、3D文化旅游体验区、3D主题乐园、3D装修装饰体验区、3D主题餐厅展示体验区、3D电影及裸眼视觉体验区等七大3D技术应用科普示范区，预计投资600000.00万元；二期建设3D产业孵化区、3D产业综合办公区、配套生活区以及停车场及公共活动区、道路、绿地等辅助工程，预计投资400000.00万元。项目建成后将成为河南省乃至全国产业规模最大、产业链最完善、技术水平最高的3D打印产业集群，成为南阳市集科技研发、展览展示、科普教育等多功能于一体的中国3D打印技术产业的样板工程、示范工程。通过加强与高校科研院所合作交流，为3D打印产业内企业培育孵化提供技术支持。同时培养3D打印专业技术人才，推动3D打印技术的示范普及等，本项目将集“政、产、学、研、用”多方资源，最终建成国内一流、具有产业积聚和发展引领示范作用的科技创新和服务平台。	项目建成后，正常经营年份年销售收入1625800.00万元，年利润总额427214.68万元，年税后利润320411.01万元，税金总额209495.75万元（其中年增值税93356.44万元，年销售税金及附加9335.64万元，所得税106803.67万元），项目投资利润率36.81%，投资利税率45.66%，销售利润率26.28%，税前财务内部收益率为38.50%，税后财务内部收益率为29.01%，税前财务净现值1267155.69万元，税后791769.77万元，税前投资回收期4.84年，税后投资回收期5.94年，其中均含建设期2年。	2015	2016	3D打印，3D主题乐园，3D打印云平台	新建	
196	北斗位置服务综合平台项目			吉林省北斗导航位置服务有限公司	吉林	长春	民营	25000	项目将建立一个以北斗系统为主导，以云计算技术为核心，整合移动通信网络和互联网，构建海、天、地一体化的北斗位置服务网络，为用户提供导航定位、数字报文通信服务和基于位置的增值信息服务业务，为服务用户提供入网、注册、运营（定位、授时、数字报文通信）、计费等基本服务，为集团用户提供灵活的接入与信息推送服务，为其他内容提供商和服务提供商提供运营支持；使北斗卫星导航系统在得到充分安全保障的基础上向民用用户全面开放，使得北斗系统资源得以充分利用，服务立足吉林，辐射全国。项目建成后形成B2B、B2C、O2O等多种服务模式相结合的覆盖智慧应急、智慧交通、智慧旅游、民生关爱、气象服务、林业服务等多个领域的管理运营与信息服务体系，提高政府及公共机构运行效率，为人民生活提供便利。预计项目年销售收入可达23000.00万元，年上缴各种税金6173.76万元，直接带动地方就业近百人，间接带动就业2000人。	经过财务测算和分析，项目建成后，正常经营年份年销售收入23000.00万元，年增值税3027.85万元，年销售税金及附加302.79万元，项目正常年份利润总额为18000.41万元，年上缴所得税额为4500.10万元，税后利润为13500.31万元；项目投资利润率49.90%，项目投资利税率59.37%，税前财务内部收益率为45.17%，税后财务内部收益率35.69%，税前财务净现值47983.62万元，税后32053.34万元；税前投资回收期4.79年，税后投资回收期5.50年，其中均含建设期2年。项目的预期产能达到约12.17%，即可保本不发生亏损。	2014	2016	北斗导航，北斗卫星导航系统，北斗位置服务平台，北斗产品检测认证	新建	
197	智能电网电能量综合管理系统项目			沈阳易讯科技股份有限公司	辽宁	沈阳	民营	7135	项目主要建设内容有：建设一条“基于IEC61970标准的EPM-3000智能电网电能量综合管理系统”组装生产线以及配套办公服务设施。整个项目产能每年20套EPM-3000智能电网电能量综合管理系统（由电量主站和采集终端构成）。	经过财务测算和分析，本项目正常经营年份年营业收入6000.0万元，年营业税金及附加57.6万元，年利润总额2471.9万元，年税后利润2169.4万元，所得税302.4万元。项目投资利润率33.25%，投资利税率41.77%，销售利润率41.2%，税前财务内部收益率为27.91%，税后财务内部收益率为25.62%，税前财务净现值7575.4万元，税后6385.1万元；税前投资回收期4.72年，税后投资回收期4.89年，其中均含建设期1年。	2011	2012	智能电网，电能量管理	新建	
198	直升机制造产业基地项目		通用航空	鄂尔多斯市海明堡直升机投资有限公司	内蒙古	鄂尔多斯	民营	461800	本项目主要规划包括：直升机总装厂房、直升机维修、检测厂房、零部件生产厂房、直升机航材仓库、国产化研发中心、航空产品展示中心、航空培训中心、直升机紧急救援中心、紧急救援医院、紧急救援物资仓库、会议中心、国际航空俱乐部、直升机停机坪、直升机试飞跑道、员工宿舍等。本项目为引进美国垂直航空技术公司蜂鸟260L直升机项目，将用6年的时间建立一个投资达46多亿元（不含本项目包括的飞机维修、租赁托管、国产化零部件制造、航空培训、紧急救援、航空旅游六个板块的后续累计投资）。占地约700亩的轻型民用直升机产业基地。本项目符合国家产业政策，在行业前景、市场需求、飞机型号、技术来源、生产工艺、技术支持、唯一授权、产品价格、生产设备、基础设施、技术人才、工程建设、建筑设计、投资规模、经济效益和风险控制等方面具有较好的发展优势和可操作性。				通用航空，直升机，蜂鸟260L（4-5座型）直升机，航空俱乐部，莱康明V0-540-C2A活塞发动机	新建	
